Current 		 estimated 		 error
[50. 24.] 		 [49. 23.] 		 1.4142135623730951
[49.75034262 24.01308399] 		 [50.08426538 24.31561367] 		 0.4505869731631952
[49.7329035 24.262475 ] 		 [49.7237023  23.77826968] 		 0.4842927337562347
[49.94940985 24.137475  ] 		 [49.72944079 24.40606405] 		 0.3471692173118528
[49.8721556  23.89971087] 		 [50.06335025 23.93899265] 		 0.1951882462796464
[49.67515291 23.7457955 ] 		 [49.84059585 24.12082127] 		 0.40989717228744327
[49.4315604  23.68955774] 		 [49.62151141 23.88590303] 		 0.27319015275280084
[49.18535846 23.73296978] 		 [49.31369328 23.44421712] 		 0.3159872310093376
[49.0213437  23.92164718] 		 [49.33151515 23.84470021] 		 0.31957341310991705
[49.1981204  23.74487048] 		 [48.91677893 24.10312789] 		 0.45552320408112035
